uniquedesignation,track_id,X,Y,Z,timefromstart,distanceonline,owningunit,sidc,status911,speed,staffcomment
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.756,36.5882,243.113,0.070216667,100,2-3-A-1,SFGPEVAL-------,0,100,
3A1-001,{7f5eab90-dfd2-42c9-a0d4-12152173d40d},-121.85,36.5782,95.9661,0.088233333,100,2-3-A-1,SFGPEVAL-------,1,100,
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.945,36.6045,18.8778,0.092816667,100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.806,36.5764,112.575,0.065933333,100,2-3-A-1,SFGPEVAL-------,0,100,
3B1-029,{c2d72efb-9215-4567-8f9f-3f8c55592aeb},-121.952,36.5881,38.1009,0.076916667,100,2-3-B-1,SFGPEVAL-------,0,100,
Cougars 1 D,{29d13bec-8a92-43b3-8394-8f12ecf6b091},-121.755,36.5893,234.668,0.06565,100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Defend the roadblock
Wolfpack 3 A,{0a4114b8-bcd5-462e-abd2-c71274d83d6b},-121.905,36.6174,21.0044,0.057683333,100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Area security operations
War Eagles 1 D,{8c7d39cb-5dc7-471d-b485-e9797b5c395b},-121.921,36.5887,224.695,0.1,100,2nd Stryker Brigade,SFGPEVAL-------,0,100,Main patrol within Monterey
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.757,36.5874,241.872,0.140433333,200,2-3-A-1,SFGPEVAL-------,0,100,
Saber 1 A,{9be9f407-bf05-4f15-aad3-931727022923},-121.945,36.6054,19.3283,0.185633333,200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Cavalry Scout troop
3A1-006,{eb26886e-812d-49b5-9711-40047dec0533},-121.805,36.5766,114.003,0.131866667,200,2-3-A-1,SFGPEVAL-------,0,100,
3A1-001,{7f5eab90-dfd2-42c9-a0d4-12152173d40d},-121.851,36.5775,104.809,0.176466667,200,2-3-A-1,SFGPEVAL-------,1,100,
3A1-004,{6a509b22-9d1d-4198-ac6e-c89104915425},-121.757,36.5866,247.622,0.21065,300,2-3-A-1,SFGPEVAL-------,0,100,
Cougars 1 D,{29d13bec-8a92-43b3-8394-8f12ecf6b091},-121.754,36.5892,233.231,0.1313,200,2nd Stryker Brigade,SFGPEVAL-------,0,100,Defend the roadblock
